10000009,20000002,30000001,40000001,50000003,60000000,70000009,80000000,90000006,100000001,110000000,120000000,130000000,130001498

129882,0,0,0,0,356,3000,2732,1804,1573,1628,1041,890,320,0
129883,0,0,0,0,384,2132,1986,1217,1240,1236,1432,1100,476,0
130029,194,172,465,342,0,0,0,0,0,0,0,0,0,0
130030,147,239,166,80,0,0,0,0,0,0,0,0,0,0
130031,96,88,195,143,0,0,0,0,0,0,0,0,0,0
130032,3,4,68,25,0,0,0,0,0,0,0,0,0,0
130044,2170,2534,1763,2023,0,0,0,0,0,0,0,0,0,0
130045,611,772,551,645,0,0,0,0,0,0,0,0,0,0
130046,332,251,130,31,0,0,0,0,0,0,0,0,0,0
130047,562,525,506,352,0,0,0,0,0,0,0,0,0,0
130048,394,492,347,428,0,0,0,0,0,0,0,0,0,0
130049,601,716,551,658,0,0,0,0,0,0,0,0,0,0
130051,1711,1750,1292,1271,0,0,0,0,0,0,0,0,0,0
130052,901,1134,1049,1035,0,0,0,0,0,0,0,0,0,0
130053,1111,1221,1077,995,0,0,0,0,0,0,0,0,0,0
130054,1250,1554,1892,1618,0,0,0,0,0,0,0,0,0,0
130068,128,140,280,176,0,0,0,0,0,0,0,0,0,0
130069,155,97,46,24,0,0,0,0,0,0,0,0,0,0
130071,27,66,35,18,0,0,0,0,0,0,0,0,0,0
130072,129,138,162,102,0,0,0,0,0,0,0,0,0,0
130073,17,16,17,10,0,0,0,0,0,0,0,0,0,0
130082,70,74,172,144,0,0,0,0,0,0,0,0,0,0
130083,0,0,0,0,4,8,0,17,18,17,13,13,5,0
130087,0,0,0,0,20,40,0,85,90,85,60,60,20,0
130088,0,0,0,0,8,16,0,34,36,34,28,28,12,0
130089,0,0,0,0,32,64,0,136,144,136,105,105,41,0
130092,0,0,0,0,20,40,0,85,90,85,60,60,20,0
130094,0,0,0,0,20,40,0,85,90,85,63,63,23,0
130096,0,0,0,0,20,40,0,85,90,85,63,63,23,0
130097,0,0,0,0,20,40,0,85,90,85,66,66,26,0
130098,2,7,27,13,0,0,0,0,0,0,0,0,0,0
130105,25,63,80,29,0,0,0,0,0,0,0,0,0,0
130107,17,39,52,20,0,0,0,0,0,0,0,0,0,0
130115,8,23,25,8,0,0,0,0,0,0,0,0,0,0
130116,8,23,25,8,0,0,0,0,0,0,0,0,0,0
130117,24,69,75,24,0,0,0,0,0,0,0,0,0,0
130119,8,23,25,8,0,0,0,0,0,0,0,0,0,0
130136,0,1,1,0,0,0,0,0,0,0,0,0,0,0
130139,4,9,5,1,0,0,0,0,0,0,0,0,0,0
130140,155,97,46,24,0,0,0,0,0,0,0,0,0,0
130203,4637,4952,7699,6305,69647,15129,13826,9349,7921,7301,6661,6237,1310,0
130217,18,44,68,63,0,0,0,0,0,0,0,0,0,0
130218,604,382,168,87,0,0,0,0,0,0,0,0,0,0
130219,2,0,0,0,33,279,314,381,354,265,155,148,15,0
130226,17,36,40,14,3,0,0,0,0,0,0,0,0,0
130237,0,0,0,280,11097,0,0,0,0,0,0,0,0,0
130238,4063,3732,6319,4874,36057,10590,9672,6968,5954,5393,5138,4752,989,0
130239,22,28,42,18,684,18,0,84,90,66,51,44,12,0
130267,108,92,483,245,180,317,301,184,234,216,561,424,142,0
130268,7368,6273,2679,1790,497,6769,5888,3965,3108,3346,1120,1039,316,0
130270,0,0,0,0,6,0,0,0,0,0,0,0,0,0
130271,736,688,1246,1462,257,1199,1138,636,747,706,1025,822,370,0
130273,6907,7393,8675,7637,748,3425,3080,1962,2256,2250,3173,2425,950,0
130288,0,0,0,280,3424,0,0,0,0,0,0,0,0,0
130289,0,0,0,0,7670,0,0,0,0,0,0,0,0,0
130291,0,0,0,0,3,0,0,0,0,0,0,0,0,0
130293,54,65,125,49,1329,15,0,10,10,20,0,0,0,0
130294,132,216,185,330,15098,0,0,0,0,0,0,0,0,0
130295,708,401,1029,654,1344,1080,1024,567,598,528,1091,1007,218,0
130296,1285,1619,1932,1618,5655,3239,3005,3206,2671,2294,1535,1436,244,0
130297,885,753,2433,1984,7697,3975,3709,2050,2052,1879,2361,2161,555,0
130298,407,228,288,81,3079,2939,2506,1424,810,876,342,327,21,0
130299,28,22,46,29,965,235,240,127,157,135,129,115,35,0
130301,0,0,0,0,442,0,0,0,0,0,6,0,0,0
130302,0,0,0,0,2,0,0,0,0,0,0,0,0,0
130303,0,0,0,0,43,0,0,0,0,0,0,0,0,0
130304,22,28,42,18,194,15,0,70,75,55,37,37,10,0
130308,15937,14126,13240,16569,52786,11688,10314,6694,5765,5929,4246,3284,1438,0
130309,11872,11689,14966,12349,412,3077,2903,1864,1718,1834,1427,1225,376,0
130343,14,30,22,8,0,0,0,0,0,0,0,0,0,0
130349,0,0,0,0,1,3,0,2,2,4,0,0,0,0
130350,0,0,0,3,1,8,0,7,14,17,47,30,21,0
130351,0,0,0,3,10,76,57,39,53,55,115,93,34,0
130352,0,0,0,0,210,1677,1494,922,862,882,801,630,229,0
130353,0,0,0,0,39,290,274,138,119,112,82,65,32,0
130354,0,0,0,0,13,321,253,164,106,117,10,9,2,0
130355,0,0,0,0,3,47,48,24,31,27,24,21,7,0
130367,0,0,0,0,1,3,0,2,2,4,0,0,0,0
130382,0,0,0,0,45,100,86,60,81,64,90,74,37,0
130383,0,0,0,3,120,1342,1184,724,563,591,221,154,75,0
